region	utbildningsnivå	år	Befolkning 16-95+ år
01 Stockholms län	förgymnasial utbildning kortare än 9 år	2019	79082
01 Stockholms län	förgymnasial utbildning, 9 (10) år	2019	219020
01 Stockholms län	gymnasial utbildning, högst 2 år	2019	296224
01 Stockholms län	gymnasial utbildning, 3 år	2019	384712
01 Stockholms län	eftergymnasial utbildning, mindre än 3 år	2019	295747
01 Stockholms län	eftergymnasial utbildning, 3 år eller mer	2019	533216
01 Stockholms län	forskarutbildning	2019	30919
01 Stockholms län	uppgift om utbildningsnivå saknas	2019	69597
03 Uppsala län	förgymnasial utbildning kortare än 9 år	2019	17521
03 Uppsala län	förgymnasial utbildning, 9 (10) år	2019	36474
03 Uppsala län	gymnasial utbildning, högst 2 år	2019	55204
03 Uppsala län	gymnasial utbildning, 3 år	2019	65827
03 Uppsala län	eftergymnasial utbildning, mindre än 3 år	2019	44492
03 Uppsala län	eftergymnasial utbildning, 3 år eller mer	2019	73304
03 Uppsala län	forskarutbildning	2019	10132
03 Uppsala län	uppgift om utbildningsnivå saknas	2019	7943
04 Södermanlands län	förgymnasial utbildning kortare än 9 år	2019	22163
04 Södermanlands län	förgymnasial utbildning, 9 (10) år	2019	33470
04 Södermanlands län	gymnasial utbildning, högst 2 år	2019	56236
04 Södermanlands län	gymnasial utbildning, 3 år	2019	54864
04 Södermanlands län	eftergymnasial utbildning, mindre än 3 år	2019	29827
04 Södermanlands län	eftergymnasial utbildning, 3 år eller mer	2019	36724
04 Södermanlands län	forskarutbildning	2019	1092
04 Södermanlands län	uppgift om utbildningsnivå saknas	2019	5350
05 Östergötlands län	förgymnasial utbildning kortare än 9 år	2019	29486
05 Östergötlands län	förgymnasial utbildning, 9 (10) år	2019	47358
05 Östergötlands län	gymnasial utbildning, högst 2 år	2019	78524
05 Östergötlands län	gymnasial utbildning, 3 år	2019	84179
05 Östergötlands län	eftergymnasial utbildning, mindre än 3 år	2019	52665
05 Östergötlands län	eftergymnasial utbildning, 3 år eller mer	2019	74044
05 Östergötlands län	forskarutbildning	2019	4598
05 Östergötlands län	uppgift om utbildningsnivå saknas	2019	8124
06 Jönköpings län	förgymnasial utbildning kortare än 9 år	2019	28365
06 Jönköpings län	förgymnasial utbildning, 9 (10) år	2019	40033
06 Jönköpings län	gymnasial utbildning, högst 2 år	2019	63272
06 Jönköpings län	gymnasial utbildning, 3 år	2019	68402
06 Jönköpings län	eftergymnasial utbildning, mindre än 3 år	2019	37926
06 Jönköpings län	eftergymnasial utbildning, 3 år eller mer	2019	46779
06 Jönköpings län	forskarutbildning	2019	1085
06 Jönköpings län	uppgift om utbildningsnivå saknas	2019	6806
07 Kronobergs län	förgymnasial utbildning kortare än 9 år	2019	14555
07 Kronobergs län	förgymnasial utbildning, 9 (10) år	2019	20811
07 Kronobergs län	gymnasial utbildning, högst 2 år	2019	35462
07 Kronobergs län	gymnasial utbildning, 3 år	2019	36148
07 Kronobergs län	eftergymnasial utbildning, mindre än 3 år	2019	21820
07 Kronobergs län	eftergymnasial utbildning, 3 år eller mer	2019	28054
07 Kronobergs län	forskarutbildning	2019	830
07 Kronobergs län	uppgift om utbildningsnivå saknas	2019	4630
08 Kalmar län	förgymnasial utbildning kortare än 9 år	2019	19484
08 Kalmar län	förgymnasial utbildning, 9 (10) år	2019	27710
08 Kalmar län	gymnasial utbildning, högst 2 år	2019	48824
08 Kalmar län	gymnasial utbildning, 3 år	2019	44545
08 Kalmar län	eftergymnasial utbildning, mindre än 3 år	2019	25318
08 Kalmar län	eftergymnasial utbildning, 3 år eller mer	2019	31257
08 Kalmar län	forskarutbildning	2019	855
08 Kalmar län	uppgift om utbildningsnivå saknas	2019	4138
09 Gotlands län	förgymnasial utbildning kortare än 9 år	2019	4457
09 Gotlands län	förgymnasial utbildning, 9 (10) år	2019	6256
09 Gotlands län	gymnasial utbildning, högst 2 år	2019	11843
09 Gotlands län	gymnasial utbildning, 3 år	2019	11531
09 Gotlands län	eftergymnasial utbildning, mindre än 3 år	2019	6036
09 Gotlands län	eftergymnasial utbildning, 3 år eller mer	2019	8640
